identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100037	Citation	"Kirk, P. (2014). Leptosphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100037"															
WoRMS:citation:100038	Citation	"Kirk, P. (2014). Lophiostomataceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100038"															
WoRMS:citation:100039	Citation	WoRMS (2014). Microthyriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100039															
WoRMS:citation:100040	Citation	"Kirk, P. (2014). Monoblastiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100040"															
WoRMS:citation:100041	Citation	"Kirk, P. (2014). Mycosphaerellaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100041"															
WoRMS:citation:100042	Citation	"Kirk, P. (2014). Phaeosphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100042"															
WoRMS:citation:100043	Citation	"Kirk, P. (2014). Pleomassariaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100043"															
WoRMS:citation:100044	Citation	WoRMS (2014). Pleosporaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100044															
WoRMS:citation:100045	Citation	"Kirk, P. (2014). Sporormiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100045"															
WoRMS:citation:100046	Citation	"Kirk, P. (2014). Zopfiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100046"															
WoRMS:citation:100047	Citation	"Kirk, P. (2014). Monascaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100047"															
WoRMS:citation:100048	Citation	WoRMS (2014). Trichocomaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100048															
WoRMS:citation:100049	Citation	"Kirk, P. (2014). Halosphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100049"															
WoRMS:citation:100050	Citation	WoRMS (2014). Clavicipitaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100050															
WoRMS:citation:100051	Citation	WoRMS (2014). Hypocreaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100051															
WoRMS:citation:100052	Citation	WoRMS (2014). Microascaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100052															
WoRMS:citation:100053	Citation	WoRMS (2014). Gymnoascaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100053															
WoRMS:citation:100054	Citation	WoRMS (2014). Myxotrichaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100054															
WoRMS:citation:100055	Citation	WoRMS (2014). Onygenaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100055															
WoRMS:citation:100056	Citation	WoRMS (2014). Ascobolaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100056															
WoRMS:citation:100057	Citation	WoRMS (2014). Otideaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100057															
WoRMS:citation:100058	Citation	WoRMS (2014). Phyllochorales. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100058															
WoRMS:citation:100059	Citation	WoRMS (2014). Pyrenolaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100059															
WoRMS:citation:100060	Citation	WoRMS (2014). Metschnikowiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100060															
WoRMS:citation:100061	Citation	WoRMS (2014). Chaetomiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100061															
WoRMS:citation:100062	Citation	"Kirk, P. (2014). Chaetosphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100062"															
WoRMS:citation:100063	Citation	WoRMS (2014). Coniochaetaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100063															
