identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100377	Citation	WoRMS (2014). <i>Corollospora intermedia</i> I. Schmidt. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100377															
WoRMS:citation:100378	Citation	"Kirk, P. (2014). <i>Corollospora lacera</i> (Linder) Kohlm., 1962. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100378"															
WoRMS:citation:100379	Citation	"WoRMS (2014). <i>Corollospora luteola</i> Nakagiri & Tubaki, 1982. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100379"															
WoRMS:citation:100380	Citation	"WoRMS (2014). <i>Corollospora maritima</i> Werderm, 1922. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100380"															
WoRMS:citation:100381	Citation	"Kirk, P. (2014). <i>Corollospora pulchella</i> Kohlm., I. Schmidt & N.B. Nair, 1967. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100381"															
WoRMS:citation:100382	Citation	"WoRMS (2014). <i>Haligena elaterophora</i> Kohlm., 1961. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100382"															
WoRMS:citation:100383	Citation	"Kirk, P. (2014). <i>Haligena salina</i> C.A. Farrant & E.B.G. Jones, 1986. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100383"															
WoRMS:citation:100384	Citation	WoRMS (2014). <i>Halosarpheia hamata</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100384															
WoRMS:citation:100385	Citation	"Kirk, P. (2014). <i>Halosarpheia retorquens</i> Shearer & J.L. Crane, 1981. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100385"															
WoRMS:citation:100386	Citation	"Kirk, P. (2014). <i>Halosarpheia spartinae</i> (E.B.G. Jones) C. Shearer J.L .Crane, 1981. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100386"															
WoRMS:citation:100387	Citation	"Kirk, P. (2014). <i>Halosarpheia trullifera</i> (Kohlm.) E.B.G. Jones, S.T. Moss & Cuomo, 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100387"															
WoRMS:citation:100388	Citation	"Kirk, P. (2014). <i>Halosarpheia unicaudata</i> (E.B.G. Jones & LeChampion-Alsumard) R.G. Johnson, E.B.G. Jones & S.T. Moss, 1987). In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100388"															
WoRMS:citation:100389	Citation	"Kirk, P. (2014). <i>Halosarpheia viscosa</i> (I. Schmidt) Shearer & J.L. Crane, 1981. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100389"															
WoRMS:citation:100390	Citation	"WoRMS (2014). <i>Halosphaeria appendiculata</i> Linder, 1944. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100390"															
WoRMS:citation:100391	Citation	"WoRMS (2014). <i>Halosphaeriopsis mediosetigera</i> (Cribb & J.W. Cribb) Johnson, 1958. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100391"															
WoRMS:citation:100392	Citation	"WoRMS (2014). <i>Iwilsoniella rotunda</i> E.B.G. Jones, 1991. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100392"															
WoRMS:citation:100393	Citation	"WoRMS (2014). <i>Kohlmeyeriella tubulata</i> (Kohlm.) E.B.G. Jones, Johnson & Moss S.T., 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100393"															
WoRMS:citation:100394	Citation	"WoRMS (2014). <i>Lautosporopsis circumvestita</i> (Kohlm.) E.B.G. Jones, Yusoff S.T. Moss. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100394"															
WoRMS:citation:100395	Citation	"WoRMS (2014). <i>Ligninicola laevis</i> Hohnk, 1955. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100395"															
WoRMS:citation:100396	Citation	"Kirk, P. (2014). <i>Limacospora sundica</i> (JÌürg. Koch & E.B.G. Jones) JÌürg. Koch & E.B.G. Jones, 1995. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100396"															
WoRMS:citation:100397	Citation	"WoRMS (2014). <i>Lindra inflata</i> I.M. Wilson, 1956. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100397"															
WoRMS:citation:100398	Citation	"Kirk, P. (2014). <i>Lindra marinera</i> Meyers, 1969. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100398"															
WoRMS:citation:100399	Citation	"Kirk, P. (2014). <i>Lulworthia crassa</i> Nagakiri, 1984. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100399"															
WoRMS:citation:100400	Citation	"WoRMS (2014). <i>Lulworthia floridana</i> Meyers, 1957. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100400"															
WoRMS:citation:100401	Citation	"WoRMS (2014). <i>Lulworthia fucicola</i> G.K. Sutherl., 1916. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100401"															
WoRMS:citation:100402	Citation	"Kirk, P. (2014). <i>Lulworthia kniepii</i> (Ade & Bauch) Petr., 1956. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100402"															
WoRMS:citation:100403	Citation	"Kirk, P. (2014). <i>Lulworthia lignoarenaria</i> J. Koch & E.B.G. Jones, 1984. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100403"															
WoRMS:citation:100404	Citation	"WoRMS (2014). <i>Lulworthia medusa</i> (Ellis & Everh.) Cribb & J.W. Cribb, 1955. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100404"															
WoRMS:citation:100405	Citation	"WoRMS (2014). <i>Lulworthia purpurea</i> (I.M. Wilson) T.W. Johnson, 1958. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100405"															
WoRMS:citation:100406	Citation	"WoRMS (2014). <i>Lulworthia rufa</i> (I.M. Wilson) T.W. Johnson, 1958. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100406"															
WoRMS:citation:100407	Citation	"Kirk, P. (2014). <i>Lulworthia uniseptata</i> Nagakiri, 1984. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100407"															
WoRMS:citation:100408	Citation	"Kirk, P. (2014). <i>Luttrellia estuarina</i> Shearer, 1978. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100408"															
WoRMS:citation:100409	Citation	"Kirk, P. (2014). <i>Marinospora calyptrata</i> (Kohlm.) A.R. Caval, 1966. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100409"															
WoRMS:citation:100410	Citation	"Kirk, P. (2014). <i>Marinospora longissima</i> (Kohlm.) A.R. Caval., 1966. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100410"															
WoRMS:citation:100411	Citation	"Kirk, P. (2014). <i>Mycophycophila corallinarum</i> (P. Crouan & H. Crouan) Kohlm., 1963. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100411"															
WoRMS:citation:100412	Citation	"Kirk, P. (2014). <i>NaÌøs inornata</i> Kohlmeyer, 1962. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100412"															
WoRMS:citation:100413	Citation	"WoRMS (2014). <i>Naufragella spinibarbata</i> (J. Koch) Kohlm. & Volkm.-Kohlm., 1998. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100413"															
WoRMS:citation:100414	Citation	"WoRMS (2014). <i>Nautosphaeria cristaminuta</i> E.B.G. Jones, 1964. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100414"															
WoRMS:citation:100415	Citation	"Kirk, P. (2014). <i>Nereiospora comata</i> (Kohlm.) E.B.G. Jones, Johnson & Moss S.T., 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100415"															
WoRMS:citation:100416	Citation	"Kirk, P. (2014). <i>Nereiospora cristata</i> (Kohlm.) E.B.G. Jones, Johnson & Moss S.T., 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100416"															
WoRMS:citation:100417	Citation	"Kirk, P. (2014). <i>Ocostaspora apilongissima</i> E.B.G. Jones, R.G. Johnson & S.T. Moss, 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100417"															
WoRMS:citation:100418	Citation	"Kirk, P. (2014). <i>Ondiniella torquata</i> (Kohlm.) E.B.G. Jones, Johnson & Moss S.T., 1984. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100418"															
WoRMS:citation:100419	Citation	"WoRMS (2014). <i>Remispora crispa</i> Kohlm., 1981. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100419"															
WoRMS:citation:100420	Citation	"Kirk, P. (2014). <i>Remispora galerita</i> Tubaki, 1967. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100420"															
WoRMS:citation:100421	Citation	"WoRMS (2014). <i>Remispora maritima</i> Linder, 1944. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100421"															
WoRMS:citation:100422	Citation	WoRMS (2014). <i>Remispora pilleata</i> Kohlm.. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100422															
WoRMS:citation:100423	Citation	"Kirk, P. (2014). <i>Remispora quadri-remis</i> (HÌ¦hnk) Kohlm., 1960. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100423"															
WoRMS:citation:100424	Citation	"Kirk, P. (2014). <i>Remispora stellata</i> Kohlmeyer, 1960. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100424"															
WoRMS:citation:100425	Citation	"Kirk, P. (2014). <i>Tirispora unicaudata</i> E.B.G. Jones & Vrijmoed, 1994. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100425"															
WoRMS:citation:100426	Citation	"WoRMS (2014). <i>Trailia ascophylli</i> G.K. Sutherl., 1915. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100426"															
WoRMS:citation:100427	Citation	"WoRMS (2014). <i>Barya aurantiaca</i> Plowr. & A.S. Wilson, 1884. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100427"															
WoRMS:citation:100428	Citation	WoRMS (2014). Claviceps purpurea. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100428															
WoRMS:citation:100429	Citation	"WoRMS (2014). <i>Halonectria milfordensis</i> E.B.G. Jones, 1965. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100429"															
WoRMS:citation:100430	Citation	"WoRMS (2014). <i>Nectria gliocladioides</i> Smalley & H.N. Hansen, 1957. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100430"															
WoRMS:citation:100431	Citation	"WoRMS (2014). <i>Nectria inventa</i> Pethybr., 1919. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100431"															
WoRMS:citation:100432	Citation	"Kirk, P. (2014). <i>Nectriella laminariae</i> O.E. Erikss., 1964. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100432"															
WoRMS:citation:100433	Citation	"WoRMS (2014). <i>Microascus cirrosus</i> Curzi, 1930. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100433"															
WoRMS:citation:100434	Citation	"WoRMS (2014). <i>Arachniotus albicans</i> Apinis, 1964. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100434"															
WoRMS:citation:100435	Citation	"WoRMS (2014). <i>Arachniotus ruber</i> (Teigh) J.Schrot., 1893. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100435"															
WoRMS:citation:100436	Citation	WoRMS (2014). <i>Gymnoascus reesi</i> Baran.. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100436															
WoRMS:citation:100437	Citation	"WoRMS (2014). <i>Gymnoascus roseus</i> (Raillo) Apinis, 1964. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100437"															
WoRMS:citation:100438	Citation	"WoRMS (2014). <i>Myxotrichum ochraceum</i> Berk. & Broome, 1875. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100438"															
WoRMS:citation:100439	Citation	"WoRMS (2014). <i>Auxoarthron umbrinum</i> (Boud.) G.F. Orr & Plunkett, 1963. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100439"															
WoRMS:citation:100440	Citation	WoRMS (2014). Ascobolus crenulatus. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100440															
WoRMS:citation:100441	Citation	"WoRMS (2014). <i>Ascobolus microsporus</i> Berk & Broome, 1865. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100441"															
WoRMS:citation:100442	Citation	"WoRMS (2014). <i>Ascophanus carneus</i> (Pers: Fr.) Boudier, 1869. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100442"															
WoRMS:citation:100443	Citation	"WoRMS (2014). <i>Humaria rutilans</i> (Fr.) Sacc., 1889. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100443"															
WoRMS:citation:100444	Citation	"WoRMS (2014). <i>Haloguignardia cystoseira</i> Kolhm. & Demoulin, 1981. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100444"															
WoRMS:citation:100445	Citation	"WoRMS (2014). <i>Marinosphaera mangrovei</i> K.D. Hyde, 1989. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100445"															
WoRMS:citation:100446	Citation	"WoRMS (2014). <i>Pyrenocollerma pelvetica</i> (G.K. Sutherl.) D.L. Hawks., 1988. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100446"															
WoRMS:citation:100447	Citation	"WoRMS (2014). <i>Metschnikowia bicuspidata</i> (Metschnikoff) Kamienski, 1899. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100447"															
WoRMS:citation:100448	Citation	"WoRMS (2014). <i>Chaetomium aterrimum</i> Ellis & Everh., 1910. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100448"															
WoRMS:citation:100449	Citation	"WoRMS (2014). <i>Chaetomium bostrychodes</i> Zopf., 1877. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100449"															
WoRMS:citation:100450	Citation	"WoRMS (2014). <i>Chaetomium cochliodes</i> Palliser, 1910. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100450"															
WoRMS:citation:100451	Citation	"WoRMS (2014). <i>Chaetomium elatum</i> Kunze & Schmidt, 1824. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100451"															
WoRMS:citation:100452	Citation	"WoRMS (2014). <i>Chaetomium erectum</i> Skolko & J.W. Groves, 1948. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100452"															
WoRMS:citation:100453	Citation	"WoRMS (2014). <i>Chaetomium funicola</i> Cooke, 1873. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100453"															
WoRMS:citation:100454	Citation	"Kirk, P. (2014). <i>Chaetomium globosum</i> Kunze, 1817. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100454"															
WoRMS:citation:100455	Citation	"WoRMS (2014). <i>Chaetomium indicum</i> Corda, 1840. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100455"															
WoRMS:citation:100456	Citation	"WoRMS (2014). <i>Thielavia sepedonium</i> C.W. Emmons, 1932. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100456"															
WoRMS:citation:100457	Citation	"WoRMS (2014). <i>Thielavia terricola</i> (J.C. Gilman & Abbott) C.W. Emmons, 1930. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100457"															
WoRMS:citation:100458	Citation	"Kirk, P. (2014). <i>Chaetosphaeria chaetosa</i> Kohlmeyer, 1963. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100458"															
WoRMS:citation:100459	Citation	"WoRMS (2014). <i>Coniochaeta ligniaria</i> (Grev.) Massee, 1887. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100459"															
WoRMS:citation:100460	Citation	"WoRMS (2014). <i>Apiospora montagnei</i> Sacc., 1875. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100460"															
WoRMS:citation:100461	Citation	"Kirk, P. (2014). <i>Biconiosporella corniculata</i> Schaumann, 1972. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=100461"															
WoRMS:citation:100462	Citation	"WoRMS (2014). <i>Phaeonectriella lignicola</i> Eaton & E.B.G. Jones, 1971. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100462"															
WoRMS:citation:100463	Citation	"WoRMS (2014). <i>Pleurage curvula</i> (de Bary ex G. Winter) Kuntze, 1898. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100463"															
WoRMS:citation:100464	Citation	"WoRMS (2014). <i>Pleurage decipiens</i> (G.Winterex.Fuckel) Kuntze, 1898. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100464"															
WoRMS:citation:100465	Citation	"WoRMS (2014). <i>Pleurage minuta</i> (Fuckel)Kuntze, 1898. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100465"															
WoRMS:citation:100466	Citation	"WoRMS (2014). <i>Groenhiella bivestia</i> J. Koch, E.B.G. Jones & S.T. Moss, 1983. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100466"															
WoRMS:citation:100467	Citation	"Kirk, P. (2014). <i>Gelaninospora calospora</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100467"															
WoRMS:citation:100468	Citation	"WoRMS (2014). <i>Gelasinospora retispora</i> Cain., 1950. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100468"															
WoRMS:citation:100469	Citation	"WoRMS (2014). <i>Sordaria fimicola</i> (Roberge ex Desm.) Ces. & De Not., 1863. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100469"															
WoRMS:citation:100470	Citation	"WoRMS (2014). <i>Sordaria tetraspora</i> G.Winter, 1871. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100470"															
WoRMS:citation:100471	Citation	WoRMS (2014). Savoryella lignicola. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100471															
WoRMS:citation:100472	Citation	"WoRMS (2014). <i>Amphisphaeria culmicola</i> Sacc., 1873. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100472"															
WoRMS:citation:100473	Citation	"Kirk, P. (2014). <i>Anthostomella lugubris</i> (Roberge ex Desm.) Sacc., 1882. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100473"															
WoRMS:citation:100474	Citation	"WoRMS (2014). <i>Anthostomella phaeosticta</i> (Berk.) Sacc., 1878. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100474"															
WoRMS:citation:100475	Citation	"Kirk, P. (2014). <i>Psalliota litoralis</i> Wakef. & A. Pearson, in Pearson, 1946. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100475"															
WoRMS:citation:100476	Citation	WoRMS (2014). <i>Helotium robustius</i> P. Karst.. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100476															
WoRMS:citation:100477	Citation	"WoRMS (2014). <i>Laccaria trullisata</i> (Ellis) Peck., 1912. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100477"															
WoRMS:citation:100478	Citation	"Kirk, P. (2014). <i>Inocybe decipiens</i> Bres., 1892. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100478"															
WoRMS:citation:100479	Citation	"WoRMS (2014). <i>Nia epidermoidea</i> Rossello & Descals, 1993. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100479"															
WoRMS:citation:100480	Citation	"WoRMS (2014). <i>Nia globospora</i> Barrata & Basilio, 1997. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100480"															
